BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2025-08-20,731.84,776.9,730.0,11949,8830379.7,147
2025-08-19,767.12,793.0,762.0,14940,1.15926494E7,176
2025-08-18,778.83,800.0,740.0,30619,2.38895633E7,394
2025-08-17,735.15,747.0,705.4,29089,2.14054998E7,391
2025-08-14,691.65,703.0,676.9,9336,6457234.5,137
2025-08-13,663.63,680.0,647.0,2517,1665733.6,53
2025-08-12,666.37,697.0,652.0,4445,2950390.5,79
2025-08-11,683.38,710.0,681.9,3427,2370529.0,56
2025-08-07,692.34,703.0,692.0,3376,2349121.5,86
2025-08-06,699.51,704.0,680.0,2515,1738390.1,58
2025-08-05,691.19,716.9,665.3,8059,5582168.2,182
2025-08-04,675.71,679.7,660.0,2560,1707558.0,77
2025-08-03,666.4,680.0,662.0,3385,2275062.0,65
2025-07-31,693.11,704.9,690.6,3778,2626941.5,67
2025-07-30,703.43,717.8,696.0,7522,5291551.6,89
2025-07-29,721.0,725.2,686.5,4129,2934238.9,102
2025-07-28,699.29,710.0,675.0,6337,4337318.0,96
2025-07-27,702.6,721.1,701.6,5067,3586180.5,86
2025-07-24,721.31,763.0,702.1,6606,4780232.5,84
2025-07-23,733.18,744.0,709.0,6213,4497882.1,115
2025-07-22,731.23,766.7,683.0,6303,4598370.5,158
2025-07-21,707.88,724.0,685.5,9570,6739736.1,192
2025-07-20,699.07,722.0,671.0,6554,4557682.5,173
2025-07-17,683.91,686.1,645.2,13671,9188220.9,210
2025-07-16,644.35,661.0,612.09,3704,2360010.1,63
2025-07-15,619.0,630.0,595.0,1172,723158.0,39
2025-07-14,607.11,629.4,607.0,2745,1677264.6,32
2025-07-13,621.42,635.0,618.4,2552,1589176.0,60
2025-07-10,618.78,627.0,612.0,1103,685350.0,33
2025-07-09,617.8,619.9,597.1,2058,1266330.8,44
2025-07-08,608.52,619.8,601.3,1171,712993.1,31
2025-07-07,608.33,620.0,607.0,2183,1329018.0,26
2025-07-06,617.07,632.3,615.3,942,584931.8,35
2025-07-03,622.28,629.3,610.0,1985,1220897.0,52
2025-07-02,617.03,631.9,610.0,3598,2231136.7,56
2025-07-01,612.0,622.9,600.0,1061,645279.0,28
2025-06-30,611.5,623.9,599.3,760,462219.0,34
2025-06-29,598.99,611.9,591.1,2200,1314271.0,37
2025-06-26,602.0,611.7,600.0,1497,903019.5,30
2025-06-25,599.9,609.0,590.1,374,224106.8,18
2025-06-24,596.77,610.0,590.0,460,276296.0,22
2025-06-23,591.17,622.7,588.0,1930,1147056.5,44
2025-06-22,599.33,615.0,599.0,2252,1357225.0,44
2025-06-19,614.88,640.0,605.0,2271,1394040.0,47
2025-06-18,608.28,613.5,606.5,630,383911.0,25
2025-06-17,612.24,622.0,610.0,1405,862110.0,31
2025-06-16,618.36,635.0,606.0,1144,710899.0,38
2025-06-15,617.8,649.9,614.5,1020,633063.0,37
